med_id;pro_id;tym_id;media_libelle;media_ressource
319;319;1;gh19f-chemise-blanche-empiecement-devant;gh19f-chemise-blanche-empiecement-devant.jpg
320;320;1;gh6b-bustier-rouge-dos-nu;gh6b-bustier-rouge-dos-nu.jpg
321;321;1;gh19d-chemise-d-homme-blanche;gh19d-chemise-d-homme-blanche.jpg
322;322;1;gh13a-bustier-noir-a-pois-blancs;gh13a-bustier-noir-a-pois-blancs.jpg
323;323;1;gh3g-haut-transparent-noir-a-manche-longue;gh3g-haut-transparent-noir-a-manche-longue.jpg
324;324;1;gh19c-chemise-femme-manche-3-quart;gh19c-chemise-femme-manche-3-quart.jpg
325;325;1;gh38-tee-shirt-journal;gh38-tee-shirt-journal.jpg
326;326;1;gh14b-bustier-blanc;gh14b-bustier-blanc.jpg
327;327;1;gh3a-haut-habille-violet-brillant;gh3a-haut-habille-violet-brillant.jpg
328;328;1;gh3b-haut-habille-bronze;gh3b-haut-habille-bronze.jpg
329;329;1;gh3c-haut-habille-bordeau;gh3c-haut-habille-bordeau.jpg
330;330;1;gh3d-haut-habille-argent-a-paillettes;gh3d-haut-habille-argent-a-paillettes.jpg
331;331;1;gh36c-chemise-homme-bleu-royal-en-lycra-cristal;gh36c-chemise-homme-bleu-royal-en-lycra-cristal.jpg
332;332;1;gh3f-haut-habille-noir-a-paillettes;gh3f-haut-habille-noir-a-paillettes.jpg
333;333;1;gh36b-chemise-homme-blanche-en-lycra-cristal;gh36b-chemise-homme-blanche-en-lycra-cristal.jpg
334;334;1;gh38b-tee-shirt-sahara;gh38b-tee-shirt-sahara.jpg
335;335;1;gh21j-chemise-noire-pour-femme;gh21j-chemise-noire-pour-femme.jpg
336;336;1;gh39-haut-edward;gh39-haut-edward.jpg
337;337;1;gh41-tee-shirt-couleur-ecru;gh41-tee-shirt-couleur-ecru.jpg
338;338;1;gh40-bustier-a-paillettes;gh40-bustier-a-paillettes.jpg
339;339;1;gh18-marinieres-adultes;gh18-marinieres-adultes.jpg
340;340;1;mej20-ensemble-titi-parisien-beret-inclus;mej20-ensemble-titi-parisien-beret-inclus.jpg
341;341;1;gh21k-chemise-noire-femme-stretch;gh21k-chemise-noire-femme-stretch.jpg
342;342;1;gh3e-haut-habille-imitation-serpent;gh3e-haut-habille-imitation-serpent.jpg
